80499  Python           0.0  00:00.20 1      0   14+    16M+   0B     0B     80499 94240 stuck    *0[1+]           0.00000 0.00000    501 7735+      583+    73+         28+         4587+      319+        271+        155+    0          0.0   0         0         sabi               N/A    N/A   N/A   N/A   N/A   N/A  
80499  Python           85.2 00:01.14 10     2   38+    36M+   0B     0B     80499 94240 sleeping *0[1]            0.13190 0.00000    501 16854+     1566+   115+        34+         10639+     2432810+    7652+       1064+   4+         85.4  2715277745 3450262419 sabi               N/A    N/A   N/A   N/A   N/A   N/A  
80499  Python           7.7  00:01.23 11     2   39+    37M+   0B     0B     80499 94240 sleeping *0[1]            0.00000  0.00000    501 16897+     1566    115         34          11063+     2432818+    7790+       1064    5+         7.8   544517509  236082704  sabi               N/A    N/A   N/A   N/A   N/A   N/A  
80499  Python           6.2  00:01.30 11     2   39     37M+   0B     0B     80499 94240 sleeping *0[1]            0.00000  0.00000    501 16919+     1566    115         34          11391+     2432822+    7890+       1064    19+        6.9   398942295  175578639  sabi               N/A    N/A   N/A   N/A   N/A   N/A  
80499  Python           5.5  00:01.36 12     2   40+    37M+   0B     0B     80499 94240 sleeping *0[1]            0.00000  0.00000    501 16935+     1566    115         34          11789+     2432827+    8049+       1064    37+        6.3   320262618  144942014  sabi               N/A    N/A   N/A   N/A   N/A   N/A  
80499  Python           0.7  00:01.37 10     1   38-    37M+   0B     0B     80499 94240 sleeping *0[1]            0.00000  0.00000    501 16990+     1566    115         34          12014+     2432827     8118+       1064    55+        1.5   15668789   18075369   sabi               N/A    N/A   N/A   N/A   N/A   N/A  
80499  Python           0.2  00:01.37 10     1   38     37M    0B     0B     80499 94240 sleeping *0[1]            0.00000  0.00000    501 16990      1566    115         34          12097+     2432827     8179+       1064    62+        0.5   1007660    3991261    sabi               N/A    N/A   N/A   N/A   N/A   N/A  
80499  Python           0.1  00:01.37 10     1   38     37M    0B     0B     80499 94240 sleeping *0[1]            0.00000  0.00000    501 16990      1566    115         34          12213+     2432827     8254+       1064    68+        0.4   1142230    4379888    sabi               N/A    N/A   N/A   N/A   N/A   N/A  
80499  Python           37.3 00:01.79 13/1   1   41+    54M+   0B     0B     80499 94240 running  *0[1]             0.02978  0.00000    501 24289+     3562+    118+        34          17275+     2432919+    9294+       3271+   73+        37.5  2208108171 1336609782 sabi               N/A    N/A   N/A   N/A   N/A   N/A  
80499  Python           93.6 00:02.87 13/1   1   41     54M    0B     0B     80499 94240 running  *0[1]             0.00000  0.00000    501 31458+     3562     118         34          18964+     2432919     11678+      5791+   114+       95.4  8986376889 4024100443 sabi               N/A    N/A   N/A   N/A   N/A   N/A  
80499  Python           95.4 00:03.91 13/1   1   41     102M+  0B     0B     80499 94240 running  *0[1]             0.00000  0.00000    501 54107+     3707+    119+        35+         30249+     2433121+    13096+      5873+   117+       95.5  6246701976 3591603653 sabi               N/A    N/A   N/A   N/A   N/A   N/A  
80499  Python           134.5 00:05.38 27     1   55+    162M+  0B     0B     80499 94240 sleeping *0[1]             0.00000  0.00000    501 72075+     4264+    124+        39+         61387+     3838677+    18922+      5894+   117        134.5 4485559295 4775242875 sabi               N/A    N/A   N/A   N/A   N/A   N/A  
